t1,t2,t3,t4
4.96100892162586,4.33136043598893,4.73643221299565,4.37192284356691
4.99470426143192,4.64817623847553,4.61787377723595,4.73704105797858
3.59936191237085,3.40397694522275,3.52558398595581,3.5725610685952
5.71784482680308,5.52864692687082,5.45289819383196,5.61182842396124
5.86406431116995,5.38645439280172,5.58936597375134,5.75259626860507
5.73671073235936,5.28638620117083,5.22238555756483,5.32523929223889
4.12221766056348,3.52970059649806,3.83372992491282,3.38409757303705
4.8880278434957,4.83560541795807,4.98493038278166,5.10827839224315
6.66555639769044,5.70784182722821,5.83940538642878,5.1832458418962
3.2729048570857,3.25,3.45563062301966,3.53683926021931
5.65888258593648,6.00330386418048,6.13230398904573,5.9740916737981
3.94929119355461,3.75134070424683,3.77109611725777,3.83754597395942
3.48821812596991,3.25,3.67683118906493,3.34383718329577
4.91707609448903,4.62299836426281,4.64412329885902,4.45307808503057
5.51108799040825,5.29355193243894,5.23133402209941,5.23397590083611
3.58948546738598,3.42850625181421,3.55446721393353,3.42850625181421
3.25,3.25,3.27878757816042,3.31236131537846
4.16719517514918,4.26081469143645,3.95091445565122,3.67528948365074
5.11049486769398,4.71455512904919,5.08021476369426,4.90659077966803
7.48765552205519,7.26253462134047,7.36466149242988,7.30077590295945
8.09647355619182,7.39103905935546,7.48518488333503,7.80856274139852
5.62681388267346,6.04924906639319,4.62518704505235,6.43962153883398
4.37561218935512,4.64184267869808,4.46850569608421,4.43269903064904
6.04005399029369,5.37494382996036,5.49986160221973,5.3118726191672
5.84278598228678,5.71140492961323,5.81113014980332,5.7001459405724
5.0147012754958,4.606997966695,4.91323409526888,4.84589786136506
5.63876827833977,5.11365516146663,5.34097321802909,5.17342508224143
3.45832218322159,3.25,3.40386080535577,3.25
3.86380169146283,3.25,3.54666496210821,3.81998976752047
5.32963943033795,5.21819310065745,5.23706096972556,5.14288169761427
4.91026431561821,4.83492040633105,4.76899950732393,4.99301655658586
5.36536566773483,5.19023525185623,5.0579466843209,5.39095284678494
9.64655391142047,9.37597919483827,9.40107636873631,9.46240954732431
